,company_name,job_title,job_senority,degree,job_desc,city,state,avg_salary,salary_lower,salary_upper,size,industry,sector,job_function,revenue,num_listings
1137,National Jewish Health,Tobacco Health Coach,,,"work from home – full time
national jewish health – tobacco cessation program
**remote positions with our team are currently available for candidates located in
co, tx, wi, mn, az, ca, il, fl, va, hi, ok and ny.**

***$750 sign-on bonus!***
position summary
the tobacco cessation health coach provides assessment, counseling, education and behavioral intervention to tobacco users. this position directly assists tobacco users by using motivational interviewing techniques in deciding whether to make a quit attempt, obtaining and using cessation medicine and staying abstinent from tobacco. counseling is conducted over the phone and/or through the internet with participants.





location: national jewish health · quitlogix
schedule: full time, variable shift, variable",,AZ,43160.0,43160.0,,1001 - 5000 ,Health Care Services & Hospitals,Healthcare,Skilled Labor & Manufacturing,$100 to $500 million (USD),196
1139,Munters Corporation,Field Service Supervisor,,,"munters is a global leader in energy efficient and sustainable air treatment solutions. our products and service are crucial to the success of other companies in several industries, from manufacturing and pharmaceuticals to food and agriculture.
duties and responsibilities:
the field service supervisor is responsible for providing exceptional leadership for the field service team within their assigned service territory. the field service supervisor will also be the primary contact for all customer escalations within assigned service territory. the team of field service personnel are responsible for performing on-site routine services including installation, maintenance, and repair.
in addition, the field service supervisor will develop and grow all service delivery quality and capability:
supervise service team to deliver equipment channels and customers, start-up, extended warranty, contracts, and billable service across all product lines",Chicago,IL,67579.0,58.0,79.0,1001 - 5000 ,Machinery Manufacturing,Manufacturing,Skilled Labor & Manufacturing,$500 million to $1 billion (USD),196
1140,Akerman LLP,IP Docketing Specialist -  Option Available,,,"akerman llp, a top 100 u.s. law firm serving clients across the americas, is seeking a full-time intellectual property (ip) docketing specialist to provide timely and effective docketing and administrative support to the intellectual property group. the location for this position is flexible.
responsibilities include, but are not limited to:
docketing ip prosecution deadlines and assisting with docketing tasks such as updating the docketing software with new deadlines for us and foreign cases, printing daily reports and monitoring deadlines, gathering docket responses from the group and updating the firm's database, setting up new clients and matters in the database, conducting trademark and patent status checks on the us patent and trademark office and various foreign agency websites
preparing ip docket status reports
assisting attorneys, paralegals and staff with special projects as assigned",Houston,TX,61200.0,50.0,75.0,1001 - 5000 ,Legal,Legal,Skilled Labor & Manufacturing,$100 to $500 million (USD),196
1142,Blue Cross Blue Shield of Arizona,Provider Network File Technician I-III,,,"awarded the best place to work 2021, blue cross blue shield of arizona helps to fulfill its mission of improving the quality of life of arizonans by delivering a variety of health insurance products and services to meet the diverse needs of individuals, families, and small and large businesses as well as providing information and tools to help individuals make better health decisions.
this remote work opportunity requires residency, and work to be performed, within the state of arizona
purpose of the job
responsible for updating, maintaining and researching a variety of provider file information in multiple systems
qualifications
required qualifications
required work experience
1 year of experience in general business field (level 1)
3 years of experience in general business field (level 2)
preferred work experience
required job skills
preferred job skills",Phoenix,AZ,51725.0,44.0,61.0,1001 - 5000 ,Insurance Carriers,Insurance,Skilled Labor & Manufacturing,,196
1143,FCR,Technical Service Representative - Work From Home,,,"**** this is a remote work from home position. ****
**** you must live in the same state as the position to be eligible ****

what is fcr?
fcr is the premier provider of live agent call centers and customer service solutions for various companies and industries. fcr answers inbound phone calls, emails, and live chat requests with hundreds of thousands of people every day.

essential information about this position:
job title: technical service representative
working time: full-time
location: clarksville, tn (and surrounding areas)",Clarksville,TN,26164.0,22.0,31.0,1001 - 5000 ,Business Consulting,Management & Consulting,Skilled Labor & Manufacturing,,196
1147,McGrath Rent Corp,Field Service Supervisor,,,"kitchens to go by mobile modular, a rapidly expanding international business, is seeking a hands-on project manager to join our team. kitchens to go designs, sells and leases commercial kitchen facilities throughout the usa and, to date, 28 international locations. ktg’s client list includes businesses and organizations from education to hospitality, corrections to healthcare, and military to senior living such as starbucks, yum brands, united airlines, apple and all branches of the armed forces. this is an exciting opportunity to manage construction & deconstruction of commercial kitchen solutions in relocatable structures such as mobile, modular and containerized buildings in the field.
“a day in the life”
as a field service supervisor you will model outstanding customer service through strong communication and collaboration skills both internally and with our external customers. you will also provide focus on meeting and exceeding customer’s expectations, supporting sales growth, service growth and customer satisfaction.
”what you’ll do”",Naperville,IL,64117.0,54.0,76.0,1001 - 5000 ,Commercial Equipment Services,"Construction, Repair & Maintenance Services",Skilled Labor & Manufacturing,$100 to $500 million (USD),196
1150,MetroPower,Superintendent,,,"metropower, inc. has an immediate opening for 4 superintendents in the bainbridge, ga and/or cottonton, al area! all positions are regular, full-time positions, and are benefits eligible.
about metropower:
at metropower we believe in the power to serve along with the pursuit of excellence. as such the following values guide our behaviors: a servant’s heart – focus on the needs of others, wisdom – insightful, integrity – honesty and trustworthy, courage – decisive and confident in others, humility – modest and respectful, passion – unfailing dedication.

role & function
responsible for the profitable execution of electrical construction projects under his/her management. primary resource who manages safety, customer satisfaction, employee satisfaction, profits, and sales growth for concurrent projects involving one or more customers. continually prospect for new customers through the execution of existing projects. conduct business in accordance with ppc and metropower, inc. mission and vision statements.",Cottonton,AL,87730.0,71.0,108.0,1001 - 5000 ,Construction,"Construction, Repair & Maintenance Services",Skilled Labor & Manufacturing,Less than $1 million (USD),196
1151,Great Lakes Dredge & Dock,Technical Superintendent / Port Engineer,,,"posting name
job description
vdl-button__icon fa fa-lightbulb-o
having trouble formatting job description?
bold
italic
underline
font family
font size
more text
ordered list",Atlantic Beach,NY,,,,1001 - 5000 ,Construction,"Construction, Repair & Maintenance Services",Skilled Labor & Manufacturing,$500 million to $1 billion (USD),196
1153,South Orange County Community College District,Basketball Coach/Kinesiology Instructor,,,"title:
basketball coach/kinesiology instructor
job category:
faculty cta
job opening date:
november 04, 2022
job closing date:
january 24, 2023
location:
irvine valley college
work location:
irvine, ca
pay grade, for more information click on this link:
monthly
tbd
36 per week
36
100%
10
$78,689 to $104,919 annually
cover letter, resume/cv, and transcripts",Irvine,CA,91804.0,79.0,105.0,1001 - 5000 ,Education,$100 to $500 million (USD),Skilled Labor & Manufacturing,,196
1154,Phibro Animal Health Corporation,Electrical & Controls Startup Technician,,,"about phibro animal health corporation
phibro animal health corporation is a publicly traded organization with a rich history spanning nearly 100 years of service. the company is a global manufacturer of medicated feed additives, feed ingredients, advanced nutrition solutions, vaccines and specialty chemicals for various industrial markets. phibro’s revenues are in excess of $820 million, and are supported by over 1500 employees worldwide.

phibro’s ethanol performance (epg) business helps to optimize customers’ plant operations through the highest quality products.",Quincy,IL,55901.0,47.0,67.0,1001 - 5000 ,Chemical Manufacturing,Manufacturing,Skilled Labor & Manufacturing,$500 million to $1 billion (USD),196
1155,Faithful+Gould,Estimator F+G,,,"why join us?
our la team is growing! estimator ii prepares cost estimates for specific disciplines and provides business support to senior staff as directed. prepares cost estimates, completes pricing and benchmarking research, and maintains project documents and files in an organized manner.

this is a full-time position with faithful+gould that comes with the opportunity to prove your true potential, provide expert services on world class projects, collaborate, and grow with professional services experts, and receive an attractive compensation package with robust benefits.

about us:",Long Beach,CA,122500.0,115.0,130.0,1001 - 5000 ,Business Consulting,Management & Consulting,Skilled Labor & Manufacturing,$100 to $500 million (USD),196
1157,CAES,Production Test Technician III,,,"about us:
we are caes, a technologically advanced electronics company employing more than 3,600 talented makers, thinkers, innovators, and doers nationwide. we build things that solve challenging problems from deep space to the depths of the ocean. we serve customers in defense, aerospace, security, medical, and industrial markets.

are you searching for a career with a company that offers challenging, diverse projects and opportunities? are you looking for a position with a company that is growing and able to offer long-term professional advancement? searching for a company that values a friendly work environment and that values you? consider caes. #peoplefocusedmissiondriven

a career with caes is more than just a job, it is the pathway to a bright future.

overview:
caes lansdale is comprised of talented makers, thinkers and doers who like to solve complex problems. right here in the philadelphia region, our employees are mission driven and proud of the world-class products they design and manufacture for the most important needs of our time. these innovators design, engineer, manufacture and deliver technology solutions from within a sprawling montgomery county location. this is where your work matters to a cause bigger than yourself.



responsibilities:
qualifications:

employment transparency:",Lansdale,PA,45419.0,39.0,54.0,1001 - 5000 ,Aerospace & Defense,Aerospace & Defense,Skilled Labor & Manufacturing,$500 million to $1 billion (USD),196
1158,Fairfield Residential,Regional Maintenance Supervisor ,,,"regional maintenance supervisor
this position will be remote / work from home with frequent travel to properties within the dfw fort worth. candidate should be based within the dfw/fort worth, tx.
overall responsibility:
the regional maintenance supervisor (rms) is responsible for the short- and long-term maintenance objectives of their portfolio of assets, overseeing a team of maintenance managers and ensuring that the physical condition, appearance, and capital needs of the apartment communities are achieved. the rms must be technically proficient with a hands-on attitude and possess exceptional leadership and communication skills. the rms must be willing and able to set a consistent example of leadership skills and demonstrate a professional demeanor. ability to work well in ambiguous or changing situations.
education/certificates:
high school diploma or equivalent required. bachelor’s degree preferred or technical degree preferred. camt designation is a plus",Dallas,TX,60186.0,49.0,73.0,1001 - 5000 ,Real Estate,Real Estate,Skilled Labor & Manufacturing,$5 to $25 million (USD),196
1161,corbion,Senior Technical Service Representative,,,"at corbion, we exist to champion preservation in all its forms, preserving food and food production, health, and our planet.

corbion is seeking a sr. technical service representative to work with our team of key account managers to support customers in solving bakery operational problems, specifically in breads, buns, sweet goods, cakes, and icings related to the use of corbion products and in testing new products. the qualified candidate will have previous bakery operations experience.

responsibilities
provide business insights and identify/develop new sales opportunities through testing.",Lenexa,KS,57709.0,49.0,68.0,1001 - 5000 ,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Skilled Labor & Manufacturing,$1 to $5 billion (USD),196
1162,Mead & Hunt,Construction Services Supervisor,,,"responsibilities:
mead & hunt, a nationally recognized professional services consulting firm, has a full-time position available for a construction services supervisor. this position’s responsibilities include managing inspectors, engineers and administrative staff for cei projects; project and site management for transportation related projects; leading construction inspectors on materials testing and inspection procedures; serving as the main point of contact for clients; tracking schedule and completion of specific tasks on project sites; completing change orders and verifying approvals; verifying all construction activities are following specifications in contract documents and applicable standards; preparing proposals to acquire contracts and managing those contracts; participating in business development opportunities. a valid driver’s license and travel will be required.
qualifications:
the successful candidate must have a combination of education and/or experience totaling seven years of relevant experience. any of the following is acceptable: bachelor’s degree in civil engineering, or related field plus 3 years of experience; associate degree in civil engineering, or related field plus 5 years of experience; no degree plus 7 years of experience.",,MD,,,,1001 - 5000 ,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",Skilled Labor & Manufacturing,$25 to $100 million (USD),196
1163,San Francisco State University,Degree Progress Graduation Specialist - ,,,"job no: 521710
work type: staff
location: san francisco
categories: unit 4 - apc - academic professionals of california, probationary, full time, counselor (non-instructional faculty), telecommute eligible (work onsite as scheduled and/or as requested and telecommute as scheduled)
working title
degree progress graduation specialist

sf state university",San Francisco,CA,57210.0,55.0,59.0,1001 - 5000 ,Colleges & Universities,Education,Skilled Labor & Manufacturing,$5 to $25 million (USD),196
1164,Enviva,Construction Manager,,,"the enviva team is driven by our shared vision for a renewable energy future. we are a fast-growing, purpose-driven, global energy company specializing in delivering sustainable wood bioenergy solutions. we are the world's largest producer of sustainable wood pellets, which provide a low-carbon alternative to fossil fuels.
the construction manager acts as the single point of accountability for day-to-day activities at the construction site and the primary coordinator with the epc construction team. the construction manager ensures the work on site is executed in accordance with the construction plan.
responsibilities
collaborate with safety manager to ensure all enviva and regulatory safe work practices are followed at the construction site.
manage all elements of construction information starting with detailed design (constructability review, etc).",Raleigh,NC,98745.0,82.0,120.0,1001 - 5000 ,Wood & Paper Manufacturing,Manufacturing,Skilled Labor & Manufacturing,$500 million to $1 billion (USD),196
1165,Leica Microsystems,Senior Field Service Engineer,,,"leica microsystems has helped shape the future of microscopy for over 170 years by developing groundbreaking optical and digital solutions. as a global leader, we’re driven by continuous improvement to excite our customers and to create the best work environment for our people. customer focus, innovation, and teamwork are at the core of our culture and the foundation of our success.

want to be part of a company whose products are part of cutting-edge research around the world? join leica microsystems in our commitment for brilliant solutions and insight.

leica microsystems is proud to work alongside a community of nine fellow danaher life sciences companies. together, we’re pioneering the future of science and medicine, developing products that enable researchers in the fight to save lives.

we currently offer the following position in southern california - los angeles area which will be fully remote.

you will join the field service team and technical customer support department and report to the regional service manager.

your responsibilities
work on our cutting-edge leica high-end microscopes including confocal, infrared, and super resolution microscopes.
visit customers (primarily universities and hospitals) for preventive maintenance actions, fault analysis, upgrades, installation, maintenance, and repair to achieve optimum customer care delivering professional service with effective working practices.
support sales representatives in activities such as installations and demo/exhibitions.
collaborate closely with the service team to ensure all customers in the region are provided professional after-sales service, including exchanging valuable information resulting from customer contacts to increase customer happiness and sales.
cooperate closely with customer care to ensure smooth and fast processes that lead to delighted customers.

our expectations
associates degree with 3+ years of experience. 4+ years of relevant experience and/or vocational training in a technical, scientific, or engineering background or relevant military experience is preferred.
electro-mechanical troubleshooting experience.
ability to travel up to 70%.

what we offer
attractive compensation package.
employees have the option to work from home up to 2 days/week.
we offer flexible working time models - for us, new work is more than just home office.
we have no room for prejudices and stereotypes. we promote equal opportunities, diversity and inclusion. #charterof diversity
we offer a balance between support and autonomy to achieve your own goals in an international environment.
with us you get the chance to successfully contribute your own ideas.

get more insight
learn more about what we do and who we are by watching our company video “we are leica”: https://www.youtube.com/watch?v=1zhmalqmxn4

at leica microsystems we believe in designing a better, more sustainable workforce. we recognize the benefits of flexible, remote working arrangements for eligible roles and are committed to providing enriching careers, no matter the work arrangement. this position is eligible for a remote work arrangement in which you can work remotely from your home. additional information about this remote work arrangement will be provided by your interview team. explore the flexibility and challenge that working for leica microsystems can provide.

when you join us, you’ll also be joining danaher’s global organization, where 80,000 people wake up every day determined to help our customers win. as an associate, you’ll try new things, work hard, and advance your skills with guidance from dedicated leaders, all with the support of powerful danaher business system tools and the stability of a tested organization.

given the essential job duties of this position, the employee is required to be fully vaccinated against covid-19 as a condition of employment, subject to reasonable accommodation and applicable law.",Los Angeles,CA,78660.0,67.0,93.0,1001 - 5000 ,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Skilled Labor & Manufacturing,$500 million to $1 billion (USD),196
1166,FCR,Technical Service Representative - Work From Home,,,"**** this is a remote work from home position. ****
**** you must live in the same state as the position to be eligible ****

what is fcr?

fcr is the premier provider of live agent call centers and customer service solutions for various companies and industries. fcr answers inbound phone calls, emails, and live chat requests with hundreds of thousands of people every day.

essential information about this position:

job title: technical service representative
working time: full-time",Southfield,MI,27481.0,24.0,31.0,1001 - 5000 ,Business Consulting,Management & Consulting,Skilled Labor & Manufacturing,,196
1168,"Super Micro Computer, Inc.",Service Engineer,,,"job req id: 21687
about supermicro:
supermicro® is a top tier provider of advanced server, storage, and networking solutions for data center, cloud computing, enterprise it, hadoop/ big data, hyperscale, hpc and iot/embedded customers worldwide. we are the #5 fastest growing company among the silicon valley top 50 technology firms. our unprecedented global expansion has provided us with the opportunity to offer a large number of new positions to the technology community. we seek talented, passionate, and committed engineers, technologists, and business leaders to join us.
job summary:
this is a full-time remote position at salt lake city, ut working with the supermicro global service team. supermicro is seeking a service engineer that will be responsible for field work at customer sites to resolve and repair server systems. the service engineer is a critical part of post-sales support and needs to demonstrate exceptional technical aptitude in working with server products in addition to excellent interpersonal skills. it requires the ability to support our global service network and help build a world-class field service organization.",Salt Lake City,UT,65889.0,54.0,80.0,1001 - 5000 ,Computer Hardware Development,Information Technology,Skilled Labor & Manufacturing,$1 to $5 billion (USD),196
1169,Fairfield Residential,Regional Maintenance Supervisor ,,,"regional maintenance supervisor
this position will be remote / work from home with frequent travel to properties within the northern california region. candidate should be based within the san jose, ca or bay area.
overall responsibility:
the regional maintenance supervisor (rms) is responsible for the short- and long-term maintenance objectives of their portfolio of assets, overseeing a team of maintenance managers and ensuring that the physical condition, appearance, and capital needs of the apartment communities are achieved. the rms must be technically proficient with a hands-on attitude and possess exceptional leadership and communication skills. the rms must be willing and able to set a consistent example of leadership skills and demonstrate a professional demeanor. ability to work well in ambiguous or changing situations.
education/certificates:
high school diploma or equivalent required. bachelor’s degree preferred or technical degree preferred. camt designation is a plus",San Jose,CA,64720.0,52.0,80.0,1001 - 5000 ,Real Estate,Real Estate,Skilled Labor & Manufacturing,$5 to $25 million (USD),196
1170,"Sheppard, Mullin, Richter & Hampton LLP",IP Docketing Specialist,,,"overview:
sheppard, mullin, richter & hampton llp, a global am law 100 firm, is seeking an experienced ip docketing specialist.

this position can be based in any of our u.s. offices listed. the offices we are considering are: orange county, downtown san diego, del mar, century city, downtown los angeles, san francisco, silicon valley, dallas, chicago, houston, and washington dc. there is only one opening.

we are seeking an ip docketing specialist that is experienced in u.s. and foreign trademark prosecution docketing.

this position has a remote/hybrid work arrangement, with the expectation to be in the office on an as needed basis.

responsibilities:
qualifications:",Costa Mesa,CA,60374.0,51.0,71.0,1001 - 5000 ,Legal,Legal,Skilled Labor & Manufacturing,$100 to $500 million (USD),196
1175,Sterling and Wilson LLC,Electrical Estimator,,,"about us: we provide epc services (engineering, procurement, and construction) for development of utility-scale pv solar plants in the united states. as part of a global organization, we hire the best people and provide them the best benefits to improve their lives, including a competitive salary, medical, dental, and vision coverage, and 401(k).

about the role: responsible for effectively developing cost proposals for electrical scope within renewable projects (pv solar & battery storage). analyze requests for proposals (rfps), plans, specifications, and other related documents in preparation of detailed cost estimates. perform and evaluate quantity takeoffs. prepare work specification packages and scope descriptions to support and secure requests for quotations from subcontractors and vendors. assist with the preparation of technical documents and proposals to respond to rfps. effective communication with global support teams is required. this job can be worked remotely from any location in the us.",Scottsdale,AZ,67934.0,56.0,82.0,1001 - 5000 ,"Construction, Repair & Maintenance Services",$10+ billion (USD),Skilled Labor & Manufacturing,,196
1177,Hamilton Company,Field Service Specialist,,,"company overview: hamilton company is a worldwide leader in the design and manufacture of manual, semi-automated and robotic products for precision fluid measuring. we specialize in the development, manufacturing and customization of precision measurement devices, automated liquid handling stations, and sample management systems. for more than 60 years, hamilton has been satisfying customer needs by combining quality materials with skilled workmanship, ensuring the highest level of performance of every precision fluid measuring device we manufacture. responsibilities:
hamilton robotics is seeking a field service specialist to join their robotics team to support, repair, and maintaining robotic instrumentation. the ideal candidate will work in the field and support albany, ny and the surrounding areas.

as a field service specialist with hamilton company you will be tasked with providing high quality customer support through instrument installation, maintenance and troubleshooting.
responsible for new equipment installation.
qualifications:
education/experience:
additional information:",Albany,NY,58999.0,49.0,71.0,1001 - 5000 ,Machinery Manufacturing,Manufacturing,Skilled Labor & Manufacturing,,196
1178,MasTec Network Solutions,Tower Foreman,,,"overview:
position summary
the tower foreman must have an expert level of understanding with all aspects of the wireless industry. as a tower foreman, you are responsible for leading the daily site construction work efforts to ensure the crew meets production goals determined by leadership.
essential job duties and responsibilities
understands and implements mastec network solutions (mns) health safety and environmental policies. (safety manual).
understands and implements industry standards (osha, tia10-48, nate cts and ansi)
ensure safety requirements at your sites and with your crew
qualifications:",Detroit,MI,54811.0,45.0,66.0,1001 - 5000 ,Telecommunications Services,Telecommunications,Skilled Labor & Manufacturing,$5 to $10 billion (USD),196
1179,Bio-techne,Field Service Engineer - Boston,,,"by joining the bio-techne team you will have an impact on future cutting-edge research. bio-techne, and all of its brands, provides tools for researchers in life sciences and clinical diagnostics.

position summary:

bio-techne is seeking an experienced field service engineer to service revolutionary protein analysis instrumentation. the successful candidate will be a key member of a field team responsible for maintaining instruments and supporting customers to a high standard across north america. the position is fully remote and located in boston, ma area and will support customers locally, and occasionally throughout north america territory.",Cambridge,MA,77134.0,65.0,92.0,1001 - 5000 ,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Skilled Labor & Manufacturing,$500 million to $1 billion (USD),196
1180,MasTec Network Solutions,Field Service Engineer- Southern Region,,,"overview: essential job duties and responsibilities to perform this job successfully, an individual must be able to perform each essential duty satisfactorily. the requirements listed below are representative of the knowledge, skill, and/or ability required. reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions of the job. new site builds (nsb), carrier adds, indoor systems, cran, cows including all necessary elements; installation, commissioning, integration, testing, transport, alarm, power, ground, siad, functional and e911 call testing. technical site surveys including reviewing and creating associated schematics. prepare and submit accurate documentation of services produce post implementation site packages and field reports including pictures, email and excel reports assess product/equipment performance based on field support data and recommends modifications and improvements provide daily technical and customer support for installed telecommunications systems; troubleshoot, diagnose and resolve issues and alarms. investigate equipment failures to diagnose and improve systems issues installs, repairs, and maintains equipment in the field. ensures that tools and test equipment are properly maintained estimate time to complete installations and maintenance updates order, install, scan, and return parts and manages the part cycle system ensure compliance with the companys safety and environmental policies assist with other duties as assigned nokia commissioning, decommissioning, integration and testing of nodebs, enodebs, microcells and macrocells including but not limited to; alu nodeb 9396d2u/4u, alu 9391 macrocell, alu9926 enodeb bbu, alu 9412 enodeb as well as alu 7705 siad. commissioning, integration and testing of the nokia/airscale mrbts ericsson receive assignments and deploy to cell site locations to install, commission, and integrate ericsson gsm, umts & lte equipment. using laptop and specialized software, load software and scripts in order to perform configuration as directed by remote integration center. troubleshoot or provide support upon request of the remote integration center. responsible to pick-up oem equipment from customer or company warehouse location and care for, scan, and report on equipment disposition. - qualifications:

#masteccommunicationsgroup #masteccommunicationscareers #byersengineeringcompany #decisivecommunications #mastecnetworksolutions #quadgen #rhinocableservices #rjcarrollcompany #sefncocommunications #wycofieldservices #mastecfamily",Dallas,TX,78531.0,65.0,95.0,1001 - 5000 ,Telecommunications Services,Telecommunications,Skilled Labor & Manufacturing,$5 to $10 billion (USD),196
1181,Simpson Strong-Tie,Field Engineer,,,"description
rewards at simpson strong-tie
we recognize and reward employees with a carefully designed and comprehensive rewards package, including competitive compensation, quarterly bonuses or commission and first-rate benefits. may exclude some positions, such as seasonal jobs.
quarterly bonuses/commission: you will be eligible for either a bonus or commission, paid on a quarterly basis. we believe all employees affect customers, sales and revenue — directly or indirectly – and should be rewarded by sharing the company profits.
benefits: we provide a wide range of benefits for eligible full-time employees including: medical, dental, vision, retirement contributions, employee stock purchase and bonus plans, pay for holidays, vacation, sick days, funerals and jury duty, years of service awards, employee discounts, employee referral bonuses, charitable contribution matching, education reimbursement and more.",Chandler,AZ,77500.0,67.0,88.0,1001 - 5000 ,Machinery Manufacturing,Manufacturing,Skilled Labor & Manufacturing,$500 million to $1 billion (USD),196
1182,Blue Cross Blue Shield of Arizona,Test Coordinator ,,,"awarded the best place to work 2021, blue cross blue shield of arizona helps to fulfill its mission of improving the quality of life of arizonans by delivering a variety of health insurance products and services to meet the diverse needs of individuals, families, and small and large businesses as well as providing information and tools to help individuals make better health decisions.
this remote work opportunity requires residency, and work to be performed, within the state of arizona
purpose of the job
the purpose of this role is to ensure accountability and responsibility for overseeing the testing thru all phases of the sdlc as part of a collaborative project implementation team. the test coordinator will oversee and perform quality reviews of test plans and strategy, test cases in partnership with business, developers, subject matter experts and the project management team to verify developed code and assigned work products, including but not limited to azure devops project deliverables, to ensure compliance with blue cross blue shield of arizona quality control processes and system/business requirements.
qualifications
required qualifications
preferred licenses
preferred certifications",Phoenix,AZ,44458.0,38.0,52.0,1001 - 5000 ,Insurance Carriers,Insurance,Skilled Labor & Manufacturing,,196
1184,City of West Palm Beach,Construction Coordinator - Time Limited ,,,"under limited direction, inspects and observes construction public and private projects within city owned right-of-ways, easements and other city owned projects; and performs related duties and special projects as assigned.

ensures compliance with approved construction plans and specifications on projects including set up and maintenance of mot plans, repair/removal/construction/alterations of streets, curbs, gutters, sidewalks, sanitary sewers, potable water lines and services, storm drains, catch basins, and related structures.

maintains project records including quantity verification for pay requests. prepares reports on projects inspected. coordinates projects with various city staff, private engineers, and representatives of other government entities and utility providers. conducts final walk through of projects. review as-builts drawings for accuracy.

salary",West Palm Beach,FL,45161.0,37.0,55.0,1001 - 5000 ,Municipal Agencies,Government & Public Administration,Skilled Labor & Manufacturing,,196
1185,Crown Castle USA Inc.,Equipment Operator - Integration,,,"position title: equipment operator, integration – t4
company summary
crown castle is the nation’s largest provider of shared communications infrastructure: towers, small cells and fiber. it all works together to meet unprecedented demand—connecting people and communities and transforming the way we do business. whenever you make a call, track a workout or stream music and videos, we’re the ones providing the communications infrastructure that makes it all possible. from 5g and the internet of things to drones, autonomous vehicles and ar/vr, we enable the technologies that help people stay safe, connected and ready for the future. crown castle is publicly traded on the s&p 500, and one of the largest real estate investment trusts in the us, with an enterprise value of ~$100b.
we offer a total benefits package and professional growth development for teammates in any stage of their career. along with caring for our teammates, we’re an active member in the communities where we live, work and do business. we have a responsibility to give back, which we do through our connected by good program. giving back allows us to improve public spaces where people connect, promote public safety and advance access to education and technology.


required",Cheshire,CT,,,,1001 - 5000 ,Telecommunications Services,Telecommunications,Skilled Labor & Manufacturing,$1 to $5 billion (USD),196
1187,Merative,Field Service Engineer,,,"join a team dedicated to supporting the crucial mission of improving health outcomes.
at merative, you can apply your skills – and grow new ones – with colleagues who have deep expertise in health and technology. merative provides data, analytics and software for the health industry. our clients include providers, health plans, employers, life sciences companies and governments around the world. with industry-leading products and focused innovation, we help customers improve decision-making and performance so that together, we drive real progress in health. learn more at merative.com
job summary:

we are looking for a field service engineer to join the merative team where you'll have the opportunity to revolutionize healthcare with ai. you'll work with an agile team to develop new healthcare products that have ai infused in them.
job title: field service engineer
location: remote
essential job duties:",Hartland,WI,61620.0,52.0,73.0,,Information Technology,Unknown / Non-Applicable,Skilled Labor & Manufacturing,,196
1190,Strattec Security Corp.,Test Technician - Engineering,,,"responsibilities:
strattec security corporation is one of the world's largest suppliers providing access and security systems to the automotive market. this drives us to be an innovative company with the latest technology. strattec creates exciting opportunities to people who like to work in an environment that challenges them to be creative, deal with multiple customers and projects, and research the latest technology. you will help strattec to be a pioneer by working closely with the largest automotive customers in the world along with the largest electronic partners.

let us know who you are! we want to know what motivates you and why you are the ideal candidate for our growing team. the ideal candidate will possess a team oriented attitude; have a multidiscipline background, and a passion for innovation.

summary



qualifications:",Milwaukee,WI,55108.0,47.0,64.0,1001 - 5000 ,Transportation Equipment Manufacturing,Manufacturing,Skilled Labor & Manufacturing,$100 to $500 million (USD),196
1193,McCarthy Building Co,Electrical Safety Manager - Renewable Energy ,,,"mccarthy's renewable energy business unit is seeking an electrical safety manager. this position is responsible for safety efforts of one large-scale project or several complex projects. the electrical safety manager will be responsible for overall administration of safety guidelines on projects. this position will require extensive travel across us based projects.

this is a full-time, site-based position that requires extensive travel to locations that span the continental u.s. travel subsistence and additional incentives provided per company guidelines.

key responsibilities
monitor and discuss safety programs and efforts with on-site subcontractors and mccarthy employees, ensuring safety is part of our culture and that all new hires have proper safety documents and information
mccarthy is proud to be an equal opportunity and affirmative action employer regardless of race, color, gender, age, sexual orientation, gender identity, religious beliefs, marital status, genetic information, national origin, disability or protected veteran status.",Phoenix,AZ,72137.0,60.0,87.0,1001 - 5000 ,Construction,"Construction, Repair & Maintenance Services",Skilled Labor & Manufacturing,$1 to $5 billion (USD),196
1195,Ameresco,Pre-Construction Manager,,,"ameresco, inc. (nyse:amrc) is a leading cleantech integrator and renewable energy asset developer, owner and operator. our comprehensive portfolio includes energy efficiency, infrastructure upgrades, asset sustainability and renewable energy solutions delivered to clients throughout north america and europe. our solutions range from upgrades to facility’s energy infrastructure to the development, construction and operation of renewable energy plants combined with tailored financial solutions. we foster an entrepreneurial, collaborative, and forward-thinking culture that thrives with innovation, diversity of thought, and inclusion. we are excited with all that the future holds for our industry, planet, and communities.
ameresco is currently seeking an experienced pre-construction project manager to join our design build renewable engineering team in providing leadership, planning and construction management expertise for the execution and successful delivery of our multimillion-dollar design build renewable energy construction projects. the pre-construction project manager is responsible for leading the overall management of the preconstruction phase for multiple projects, including estimating, constructability reviews, construction scope of work, bid package development, logistics planning & development, value engineering, contract awards, and other work related to design and construction management type contracts. the team is based in phoenix, arizona, however this position is remote and will require travel as necessary to execute the overall preconstruction requirements. the pre-construction project manager works directly with the development engineering team, in-house preconstruction and construction management departments, and subcontractor and supplier community to facilitate the design, pricing, and execution of construction work for a variety of energy projects. develop the initial project scope, preliminary schedule, and portions or all of construction budget for renewable energy projects.",,CA,,,,1001 - 5000 ,Energy & Utilities,"Energy, Mining & Utilities",Skilled Labor & Manufacturing,$500 million to $1 billion (USD),196
